City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,kodiak,57.79,-152.4072,15.879999999999995,82,100,3.6,US,1690683092
67,vila,42.0304,-8.1588,13.870000000000005,92,85,1.48,PT,1690683092
68,beloha,-25.1667,45.05,15.319999999999993,63,0,2.84,MG,1690683093
69,hilo,19.7297,-155.09,31.970000000000027,62,0,3.13,US,1690683093
70,victoria,22.2855,114.1577,31.95999999999998,85,97,0.45,HK,1690682528
71,port elizabeth,-33.918,25.5701,9.310000000000002,93,100,13.89,ZA,1690683093
72,bengkulu,-3.8004,102.2655,26.220000000000027,87,96,3.68,ID,1690683094
73,paoua,7.2427,16.4406,20.160000000000025,97,100,1.74,CF,1690682845
74,brae,60.3964,-1.353,13.25,96,98,3.32,GB,1690683094
75,hobart,-42.8794,147.3294,16.069999999999993,51,75,11.83,AU,1690683094
76,new norfolk,-42.7826,147.0587,15.870000000000005,79,99,5.53,AU,1690683094
77,baza,37.4907,-2.7726,27.05000000000001,34,0,1.35,ES,1690683095
78,matara,5.9485,80.5353,27.399999999999977,81,46,5.92,LK,1690683095
79,dingle,10.9995,122.6711,26.470000000000027,88,100,4.11,PH,1690683095
80,jinchang,38.4953,102.1739,24.05000000000001,56,0,4.22,CN,1690683095
81,kavieng,-2.5744,150.7967,29.029999999999973,71,10,3.31,PG,1690683095
82,bambous virieux,-20.3428,57.7575,22.49000000000001,78,40,4.12,MU,1690683095
83,hofn,64.2539,-15.2082,10.420000000000016,86,100,4.55,IS,1690683096
84,khatanga,71.9667,102.5,27.649999999999977,33,34,7.29,RU,1690683096
85,avarua,-21.2078,-159.775,24.180000000000007,94,75,2.57,CK,1690683096
86,olinda,-8.0089,-34.8553,26.0,83,75,3.09,BR,1690683096
87,zharkent,44.1628,80.0,27.389999999999986,26,0,2.14,KZ,1690683096
88,san quintin,30.4833,-115.95,22.44999999999999,78,24,2.82,MX,1690683097
89,okahandja,-21.9833,16.9167,2.1000000000000227,48,0,2.23,NA,1690683097
90,luderitz,-26.6481,15.1594,11.20999999999998,71,0,4.83,NA,1690683097
91,kenai,60.5544,-151.2583,17.19999999999999,88,100,2.06,US,1690683097
92,aswan,24.0934,32.907,31.75999999999999,25,0,2.06,EG,1690683098
93,mitu,1.1983,-70.1733,22.519999999999982,98,100,0.51,CO,1690682993
94,souillac,-20.5167,57.5167,22.360000000000014,78,40,4.12,MU,1690683098
95,bratsk,56.1325,101.6142,19.420000000000016,77,69,5.84,RU,1690683098
96,lavrentiya,65.5833,-171.0,12.069999999999993,77,33,5.21,RU,1690683098
97,mumford,5.2618,-0.759,24.329999999999984,91,100,3.25,GH,1690683099
98,ponta do sol,32.6667,-17.1,24.5,78,0,0.79,PT,1690683099
99,san cristobal,7.7669,-72.225,25.25,96,19,1.51,VE,1690683099
100,tommot,58.9564,126.2925,23.649999999999977,49,0,1.31,RU,1690683100
101,krasnoselkup,65.7,82.4667,22.54000000000002,67,9,1.42,RU,1690683100
102,altay,47.8667,88.1167,21.850000000000023,43,0,2.02,CN,1690683100
103,dakar,14.6937,-17.4441,25.639999999999986,82,100,4.84,SN,1690683100
104,kapaa,22.0752,-159.319,29.139999999999986,82,75,6.17,US,1690683100
105,korla,41.7597,86.1469,25.060000000000002,47,100,4.6,CN,1690683100
106,port blair,11.6667,92.75,28.170000000000016,83,100,6.69,IN,1690683101
107,timra,62.487,17.3257,11.970000000000027,100,17,1.54,SE,1690683101
